"filename", "language", "JSON", "YAML", "Markdown", "TypeScript", "Shell Script", "Python", "XML", "TypeScript JSX", "JSON with Comments", "Swift", "JavaScript", "Log", "HTML", "SCSS", "TOML", "comment", "blank", "total"
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/modules/outdoor-icloud-inbox/index.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 52
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/modules/outdoor-icloud-inbox/ios/OutdoorIcloudInboxModule.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 11, 57
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/modules/outdoor-icloud-inbox/package.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/package-lock.json", "JSON", 8955, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8956
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/package.json", "JSON", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/scripts/start-expo-tunnel-outdoor.ts", "TypeScript", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 95
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/scripts/start-with-ngrok.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 53
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/scripts/start-with-tailscale.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 59
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/src/LockdownRegistrationProbe.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 4, 4, 35
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/src/agentClient.ts", "TypeScript", 0, 0, 0, 830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55, 886
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/src/agentResponse.ts", "TypeScript", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 80
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/src/agentSettings.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 44
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/src/agentWebUrl.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 18
"/Users/johndoe/Documents/company/video_ops/editor/ios-teleprompter/src/bundledScripts.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
